gossifleur,impidimp,scorbunny,munna,inkay
ralts,smoochum,darumaka,hoothoot,tympole
baltoy,skrelp,cherubi,nidoranm,goldeen
larvitar,bagon,honedge,mudkip,jigglypuff
rockruff,carvanha,meowthalola,drilbur,croagunk
slowpokegalar,beldum,bulbasaur,oddish,bunnelby
metapod,phantump,combee,barboach,horsea
dwebble,vanillite,sandshrew,shinx,milcery
litten,nickit,kirlia,minccino,delibird
igglybuff,nincada,rowlet,happiny,cleffa
lillipup,corphish,steenee,swablu,golett
electrike,solosis,shellder,clauncher,riolu
gible,karrablast,aron,vulpix,binacle
wynaut,meltan,meowthgalar,arrokuda,bergmite
ferroseed,exeggcute,chinchou,pidove,tyrogue
diglettalola,purrloin,rolycoly,duskull,litwick
wimpod,hatenna,grubbin,goomy,feebas
deino,shelmet,sizzlipede,zigzagoon,slowpoke
fletchling,popplio,eevee,axew,clefairy
trapinch,snom,lotad,applin,togepi
cutiefly,helioptile,clobbopus,klink,squirtle
dewpider,yamper,jangmoo,darumakagalar,zubat
whismur,skwovet,meowth,cubone,rookidee
vulpixalola,stunky,cubchoo,woobat,salandit
spheal,snorunt,pichu,zigzagoongalar,wingull
joltik,yamask,chewtle,bonsly,budew
marill,yamaskgalar,bronzor,sandygast,azurill
fomantis,shellos,abra,charmander,torchic
blipbug,machop,bounsweet,sinistea,venipede
magnemite,sobble,noibat,swinub,magikarp
caterpie,morelull,dratini,trubbish,grookey
hippopotas,toxel,treecko,petilil,poliwag
mimejr,silicobra,sandshrewalola,seedot,diglett
shedinja,cottonee,gothita,skorupi,natu
krabby,sandile,zorua,remoraid,timburr
psyduck,foongus,wooloo,roggenrola,wooper
mareanie,gastly,nidoranf,dreepy,cufant
