skrelp,solosis,spheal,goomy,noibat
natu,litten,scorbunny,grubbin,magnemite
ferroseed,machop,duskull,jangmoo,cubone
snorunt,meowthgalar,bonsly,smoochum,baltoy
swinub,purrloin,gible,popplio,trubbish
silicobra,krabby,hoothoot,rowlet,yamask
togepi,meltan,cufant,golett,sinistea
corphish,wimpod,skwovet,ditto,honedge
dratini,clauncher,sandshrew,chinchou,stunky
vanillite,beldum,darumaka,barboach,abra
sandshrewalola,skorupi,slowpokegalar,goldeen,yamaskgalar
whismur,horsea,gastly,sizzlipede,zigzagoongalar
torchic,salandit,gothita,poliwag,shedinja
pikachu,drilbur,darumakagalar,shellder,psyduck
hippopotas,impidimp,minccino,dwebble,klink
snom,trapinch,bronzor,zorua,squirtle
